timestamp,indoor_temp,outdoor_temp,indoor_hum,outdoor_hum,wind_speed,window_open,fan_speed,CO2,CO,HCHO,TVOC
2025-10-02 01:07:32,23.31,23.45,61.52,66.61,0.0,0.0,0.0,458.0,0.0,0.4,73.7319
2025-10-02 01:07:33,23.31,23.44,61.46,66.57,0.0,0.0,0.0,465.0,0.0,0.4,77.52297
2025-10-02 01:07:34,23.3,23.47,61.44,66.54,0.0,0.0,0.0,466.0,2.0,0.4,76.25494
2025-10-02 01:07:35,23.3,23.44,61.45,66.54,0.0,0.0,0.0,449.0,0.0,0.4,91.74829
2025-10-02 01:07:36,23.3,23.43,61.43,66.51,0.0,0.0,0.0,452.0,0.0,0.4,91.74829
2025-10-02 01:07:37,23.28,23.44,61.45,66.54,0.0,0.0,0.0,459.0,0.0,0.4,87.81951
2025-10-02 01:07:38,23.3,23.45,61.45,66.51,0.0,0.0,0.0,472.0,0.0,0.2,76.25494
2025-10-02 01:07:39,23.3,23.45,61.45,66.5,0.0,0.0,0.0,474.0,0.0,0.2,82.63789
2025-10-02 01:07:41,23.28,23.41,61.45,66.47,0.0,0.0,0.0,464.0,2.0,0.2,95.71272
2025-10-02 01:07:42,23.28,23.43,61.48,66.46,0.0,0.0,0.0,475.0,0.0,0.4,90.43469
2025-10-02 01:07:43,23.28,23.41,61.48,66.52,0.0,0.0,0.0,478.0,0.0,0.4,76.25494
2025-10-02 01:07:44,23.3,23.43,61.5,66.51,0.1,0.0,0.0,479.0,0.0,0.4,82.63789
2025-10-02 01:07:45,23.27,23.41,61.49,66.49,0.1,0.0,0.0,497.0,0.0,0.4,78.79533
2025-10-02 01:07:46,23.3,23.44,61.49,66.54,0.2,0.0,0.0,517.0,0.0,0.4,82.63789
2025-10-02 01:07:47,23.3,23.43,61.5,66.56,0.2,0.0,0.0,511.0,0.0,0.4,82.63789
2025-10-02 01:07:48,23.27,23.41,61.47,66.56,0.2,0.0,0.0,495.0,2.0,0.4,90.43469
2025-10-02 01:07:49,23.28,23.41,61.48,66.59,0.2,0.0,0.0,491.0,0.0,0.2,82.63789
2025-10-02 01:07:50,23.27,23.44,61.47,66.62,0.2,0.0,0.0,471.0,0.0,0.2,87.81951
2025-10-02 01:07:51,23.28,23.43,61.49,66.61,0.2,0.0,0.0,487.0,0.0,0.2,69.98059
2025-10-02 01:07:52,23.27,23.4,61.45,66.63,0.2,0.0,0.0,489.0,0.0,0.2,80.07195
2025-10-02 01:07:53,23.28,23.41,61.44,66.65,0.2,0.0,0.0,494.0,0.0,0.2,86.51796
2025-10-02 01:07:54,23.3,23.4,61.48,66.71,0.2,0.0,0.0,483.0,0.0,0.2,78.79533
